words,sentiment_coeff
whole,0.9463753123414579
person,-0.8961803251522232
reviews,-0.9053787316066706
call,-0.9317386360643337
kids,0.9171883439017761
isn_t,0.914934550579366
coming,-0.9214263289685389
doesn_t,0.9189020754506007
instead,0.9616833774166147
extremely,0.9265222309225268
more_than,0.9083829529213671
keep,-0.9224162596116561
lots,0.987670396699539
until,-0.8998173918237173
although,0.9653798536331327
started,0.9459370356803206
help,-0.9446846326985506
end,-0.9105312116035021
either,0.9322132493014537
shop,-0.9905055785364281
extra,0.966794827211856
comes,0.9919177731647791
yet,0.9234453549982339
far,0.9319467374147508
waited,0.8697120896868193
ve_ever,1.0121866499081766
walked,-0.921555284200916
might,0.9206429599428749
decor,0.9456820063166057
plate,1.0553796216964582
liked,1.0197317191280768
parking,-0.9329919818281598
easy,-0.9305858446562352
ice_cream,1.0055893720931117
hours,-0.9314535059668052
brunch,0.9425189519864111
ate,0.9961492673469114
offer,0.9223167064708978
new_orleans,-0.9490006433443422
music,-0.9466775379765341
front,-0.9360404606945021
bacon,1.0973712347786515
next_time,0.9573035623090715
group,-0.8933706584820774
leave,-0.8978944828915257
seems,-0.9022847432175917
flavors,1.090985813682396
someone,-0.9064569443921257
customers,-0.9120110527011929
trip,-0.9418046570681022
wings,1.0170044607236741
minutes,-0.8824807168689317
seated,0.8692101378159133
part,-0.9395642421437602
start,0.9373380301551207
later,0.8878552642034669
saw,-0.9279849900694742
oh,0.9800204741652148
okay,0.9820927801076466
several,0.9162119877622347
our_server,0.9239402548932193
guy,-0.9256534024379613
wouldn_t,0.8916473888527892
working,-0.9522312506930217
fine,0.9324132597303751
hair,-0.9644806026400541
party,0.8918919241962098
fried,1.1266106678888461
burgers,1.0024989750043656
expect,0.9050841873214363
real,1.0000048486644646
name,-0.9234942536809561
street,-0.9584823102563917
course,0.988418525847017
philly,0.9623098366523961
6,0.9358992912364952
yes,0.9455634525664415
kitchen,0.8949134000993596
problem,-0.9016570545043575
often,0.9045407746526765
plenty,0.9499061648072833
slow,0.8969874172258973
space,-0.9582710994857165
quickly,0.892896967610093
stuff,0.983250794746046
making,-0.9136885438605742
doing,-0.9423888144345989
impressed,0.9588763384702669
sit,-0.8872884206273397
warm,1.0005947012742442
regular,0.976049423949542
cut,0.9776551844374615
counter,0.8907313130677786
myself,-0.9139168867627425
fact,0.8990140014277054
chips,1.0220917672682766
live,-0.943679240399327
sat,0.8798007764047813
sandwiches,1.0103157421794353
dry,1.0463271308761888
expensive,0.9412012626074555
soon,-0.9040686124302717
door,-0.9376056099988228
own,0.9503899218901364
cheap,0.9635913638257617
given,0.8929809884010665
ready,-0.8738403496834526
yummy,1.1206570702337877
already,-0.8875467905425027
size,0.9892136580858998
better_than,1.0024048358015476
deal,0.9062604740116774
seem,-0.8861002548251135
variety,1.0263014390278498
terrible,0.8969430240783292
beers,0.9459790707181966
portions,1.0117556213482997
an_hour,-0.8835887580041749
beef,1.105779882341233
style,1.0282450053264165
twice,0.9042765763453616
stopped,-0.9116933780746208
buy,-0.9384134029029587
available,0.9020727182085265
received,0.9133511516159366
flavorful,1.157725853124455
early,-0.9018315944953376
days,-0.9482113898257579
offered,0.9061540326578889
yelp,-0.933601376172067
sitting,0.8860737446315071
high,0.9290689936870644
entire,-0.9214294329513705
etc,0.9808820442539623
bartender,0.894036785084998
even_though,0.8708985542759663
choice,1.0151146258023964
ended_up,0.9323147571590109
anyone,-0.9155198657038692
happy_hour,0.9359194780425096
mexican,0.9881701799609619
seating,0.8901142345697657
guess,0.8930588974551924
rude,-0.906482729969485
professional,-0.9846226731025739
unique,1.0435110834749157
felt,0.906133687790082
needs,-0.9476754219448831
employees,-0.9347489048949605
worst,0.9185261360309004
ordering,0.938487470501016
comfortable,-0.9511654355202763
show,-0.9470325157192911
rooms,-0.9831875042998853
reasonable,0.9270282851404283
cake,1.0012871439956201
make_sure,-0.887339649596117
seafood,1.0474855582561335
run,-0.9414683198299632
horrible,0.8926457676067027
roll,1.0289624629584244
average,0.9711497104735065
rolls,1.0163690186968708
others,0.9258043843652886
20,-0.8959821522387877
believe,0.9457766351423079
serve,0.9613905882027662
past,-0.9427319485248903
heard,-0.913079989119356
light,1.067783557890809
gets,0.9141895854437334
bowl,1.0464631106143778
servers,0.883430115419686
pleasant,0.9010527141613517
along,0.9995977225342422
haven_t,0.9301531081616699
thank_you,-0.9733585295118655
8,0.9285706171373167
pork,1.1073656421860694
tea,0.9813583434594709
nashville,0.9253519206917558
5_stars,0.9292652026522418
morning,-0.9289083234378459
expected,0.9420687963076194
phone,-0.9485493350707407
sometimes,0.9187728355224231
add,1.0160374611602443
life,-0.9654640246917625
drive,-0.9470256323538455
less,0.9460572065191245
italian,0.9991485932552691
mind,0.9004663725766284
year,-0.9967268437178955
itself,0.9701184619295683
knew,-0.9255182081534101
late,-0.8947621255082906
across,-0.9559922150288749
fan,1.0310629464286578
